"all _ image _ url","Occurrence status assumed to be present","Basis of record badly formed","Coordinate precision not valid","Country inferred from coordinates","Data are generalised","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","true","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"0b09a021-4ae3-448d-bb11-6eb448d948f9","true","false","false","true","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"059f217e-fe41-4a31-94a6-fd1eea270dfa","true","false","false","true","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"32ef3c6d-8404-4e2f-a59b-c750e4864a4f","true","false","false","true","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","false","false","true","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","false","false","true","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","true","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","false","false","false","false"
"","false","false","true","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","true","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","true","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","false","true","false","false"
"","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","true","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"2e393d60-451a-4be5-8c04-2b9f197eb905","false","false","false","true","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false"
